lembaga,kelompok_koordinator,npsn,nama_pt,nm_bp,provinsi_pt,jln,kec_pt,Kabupaten/Kota,website,no_tel,email
LLDIKTI Wilayah I,PTS,013072  ,STMIK Sisingamangaraja XII,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Urip No 9 Kelurahan Aur Kecamatan Medan Polonia,,Kota Medan                    ,www.sisingamangaraja12.net,061-456-6622,stmiksm12@indosat.net.id
LLDIKTI Wilayah I,PTS,013140  ,STIKES Santa Elisabeth Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,"Jl Bunga Terompet No 118 Kel Sempakata, Kec. Medan Selayang, 20131",,Kota Medan                    ,stikeselisabethmedan.ac.id,061-8214020, stikes_elisabeth@yahoo.co.id
LLDIKTI Wilayah I,PTS,013071  ,Sekolah Tinggi Ilmu Ekonomi Indonesia Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Perbaungan No 2 ,,Kota Medan                    ,stie-indonesia.ac.id,061-732-1152,stindo.medan@yahoo.com
LLDIKTI Wilayah I,PTS,013002  ,STKIP Riama,Sekolah Tinggi,Prop. Sumatera Utara          ,"Jalan Tritura No 6, Marendal ",,Kota Medan                    , ,(061)78622857862286,yayasan.pendidikanriama@gmail.com
LLDIKTI Wilayah I,PTS,013201  ,Sekolah Tinggi Ilmu Kesehatan Indah Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,,,Kota Medan                    ,,,
LLDIKTI Wilayah I,PTS,013157  ,STMIK Triguna Dharma,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl Pintu Air I / Jen. AH. Nasution No 73 Medan Johor - Asrama Haji Medan,,Kota Medan                    ,www.trigunadharma.ac.id,061-8224051,info@trigunadharma.ac.id
LLDIKTI Wilayah I,PTS,013179  ,S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi dan Rekayasa Teknologi,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl. H. Adam Malik No. 191 Glugur By Pass Medan Sumatera Utara,,Kota Medan                    ,www.stmb-multismart.ac.id,0614561932,multismarts@gmail.com
LLDIKTI Wilayah I,PTS,013067  ,Sekolah Tinggi Ilmu Ekonomi Eka Prasetya,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl Merapi no.08,,Kota Medan                    ,www.ekaprasetya.ac.id,061-6628688,ekaprasetya@eka-prasetya.ac.id
LLDIKTI Wilayah I,PTS,013147  ,STMIK Pelita Nusantara Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,"JL. ISKANDAR MUDA NO. 1 MEDAN, SUMATERA UTARA ",,Kota Medan                    ,www.penusa.ac.id,061-88813414,pelitanusantaramdn@yahoo.com
LLDIKTI Wilayah I,PTS,013134  ,STIE Akuntansi Dan Bisnis Internasional,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl Komplek Multatuli Indah ,,Kota Medan                    ,stieabicampus.ac.id,06177477197, 
LLDIKTI Wilayah I,PTS,013098  ,Sekolah Tinggi Ilmu Bahasa Asing ITMI Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl Timah Putih Blok G 16-17 Kompleks Asia Mega Mas,,Kota Medan                    ,www.itmi.ac.id,061-735-6888,kampus.itmi@yahoo.com
LLDIKTI Wilayah I,PTS,013061  ,STMIK Budi Darma,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Sisingamangaraja No 338 SP. Limun ,,Kota Medan                    ,www.stmik-budidarma.ac.id,061-7875998,info@budidarma.ac.id
LLDIKTI Wilayah I,PTS,013130  ,STMIK ITMI Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,"Jalan Timah Putih/Kompleks Asia Mega Mas Blok G.12, 15-18 Medan",,Kota Medan                    ,www.itmi.ac.id,061-735-6888,itmipro@m-fast.net
LLDIKTI Wilayah I,PTS,013101  ,Sekolah Tinggi Ilmu Kesehatan Helvetia,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Kapten Sumarsono No 107 ,,Kota Medan                    ,www.helvetia.ac.id,061-8451021,stikes@helvetia.ac.id
LLDIKTI Wilayah I,PTS,013022  ,Sekolah Tinggi Ilmu Ekonomi Nusa Bangsa,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Sei Serayu No 80 Setia Budi Medan,,Kota Medan                    ,stienusba.ac.id,061-415-7032,stie_nusabangsa@yahoo.com
LLDIKTI Wilayah I,PTS,013180  ,STIKES Nurliana Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Letda Sujono No. 224 A Medan,,Kota Medan                    ,www.stikna.ac.id,061-6637572,stikesnurliana@yahoo.com
LLDIKTI Wilayah I,PTS,013105  ,STMIK Time,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Merbabu No 32 AABB ,,Kota Medan                    ,www.stmik-time.ac.id,061-4561932,prodi_tsi@live.com
LLDIKTI Wilayah I,PTS,013188  ,STKIP Pangeran Antasari,Sekolah Tinggi,Prop. Sumatera Utara          ,,,Kota Medan                    ,,,
LLDIKTI Wilayah I,PTS,013091  ,Sekolah Tinggi Ilmu Ekonomi ITMI Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,"Jalan Timah Putih/Komplek Asia Mega Mas Blok G 12, 15-18 ",,Kota Medan                    ,www.itmi.ac.id,061-735-6888,kampus.itmi@yahoo.com
LLDIKTI Wilayah I,PTS,013148  ,Sekolah Tinggi Ilmu Komputer Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,JL. Iskandar Muda No. 45 Medan,,Kota Medan                    ,www.stikommedan.ac.id,061-4510020,info@stikommedan.ac.id
LLDIKTI Wilayah I,PTS,013182  ,STMIK Methodist Binjai,Sekolah Tinggi,Prop. Sumatera Utara          ,,,Kota Binjai                   ,www.stmikmethodistbinjai.ac.id,061-42088655,admin@stmikmethodistbinjai.ac.id
LLDIKTI Wilayah I,PTS,013118  ,STMIK Kaputama,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Veteran No 4A-9A,,Kota Binjai                   ,www.kaputama.ac.id,(061)8828840,stmikkaputam4@gmail.com
LLDIKTI Wilayah I,PTS,013097  ,Sekolah Tinggi Ilmu Ekonomi Bina Karya,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl Badak No 24 Tebing Tinggi ,,Kota Tebing Tinggi            ,,0621-24775,
LLDIKTI Wilayah I,PTS,013155  ,STMIK Kristen Neumann Indonesia,Sekolah Tinggi,Prop. Sumatera Utara          ,"Jl Jamin Ginting Km 10,5 ",,Kota Medan                    ,www.stmikneumann.ac.id,0618369305,
LLDIKTI Wilayah I,PTS,013115  ,STMIK IBBI,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Sei Deli No 18 ,,Kota Medan                    ,www.ibbi.ac.id,061-456-7111,stmik@ibbi.ac.id
LLDIKTI Wilayah I,PTS,013196  ,Sekolah Tinggi Perikanan dan Kelautan Matauli,Sekolah Tinggi,Prop. Sumatera Utara          ,,,Kab. Tapanuli Tengah          ,www. stpkmatauli.ac.id,0631 371677,stpkmatauli@yahoo.com
LLDIKTI Wilayah I,PTS,013171  ,STKIP Barus Tapanuli Tengah,Sekolah Tinggi,Prop. Sumatera Utara          , JL. HAMZAH FANSYURI NO. 1A BARUS,,Kab. Tapanuli Tengah          ,stkipbarus.blogspot.com,(0638)510363,stkip_barus@yahoo.com
LLDIKTI Wilayah I,PTS,013131  ,STIPER Agrobisnis Perkebunan,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl Willem Iskandar Sampali Medan Estate,,Kota Medan                    , stipap.ac.id,061 6637060,medan@stipap.ac.id
LLDIKTI Wilayah I,PTS,013178  ,Sekolah Tinggi Ilmu Hukum Nias Selatan,Sekolah Tinggi,Prop. Sumatera Utara          ,Jln. Pramuka No. 10 Nari-nari Pasar Telukdalam Kab. Nias Selatan,,Kab. Nias Selatan             ,-,081381535639,STIH_NiasSelatan@yahoo.com
LLDIKTI Wilayah I,PTS,013158  ,Stba Persahabatan Internasional Asia,Sekolah Tinggi,Prop. Sumatera Utara          ," Jl. K.L Yos Sudarso No.17 Lorong 12 Lingkungan IX Glugur Kota

 Medan ",,Kota Medan                    ,www.stbapia.ac.id,061- 6616247,info@stbapia.ac.id
LLDIKTI Wilayah I,PTS,013175  ,STIKES Widya Husada Medan ,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl. Williem Iskandar No. 116 Medan,,Kota Medan                    ,www.whmedan.ac.id,061 6621202,STIKes_whmedan@yahoo.com
LLDIKTI Wilayah I,PTS,013189  ,STIKES Murni Teguh,Sekolah Tinggi,Prop. Sumatera Utara          ,,,Kota Medan                    ,www.stikes-murniteguh.ac.id,06180501888,cs@stikes-murniteguh.ac.id
LLDIKTI Wilayah I,PTS,013193  ,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Padang Lawas,Sekolah Tinggi,Prop. Sumatera Utara          ,Alamat: Jl. Ki Hajar Dewantara (Komplek Muhajirin) Pasar Sibuhuan Kab. Padang La,,Kab. Padang Lawas utara       ,,,
LLDIKTI Wilayah I,PTS,013122  ,Sekolah Tinggi Ilmu Kesehatan Binalita Sudama,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Gedung PBSIJl Pancing ,,Kota Medan                    ,,061-620-661,
LLDIKTI Wilayah I,PTS,013163  ,STIE Professional Manajemen College Indonesia,Sekolah Tinggi,Prop. Sumatera Utara          ,Komplek Multatuli Indah Blok C No. 11 - 14,,Kota Medan                    ,www.pmci.ac.id, 061-4578818, administration@pmci.ac.id
LLDIKTI Wilayah I,PTS,013113  ,Sekolah Tinggi Teknik Poliprofesi,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Sei Batanghari No 3-4 ,,Kota Medan                    ,stt.poliprofesi.ac.id,"061-8446729,8446701",stt_poliprofesi@yahoo.co.id
LLDIKTI Wilayah I,PTS,013191  ,Sekolah Tinggi Ilmu Kesehatan Audi Husada Medan,Sekolah Tinggi,Prop. Sumatera Utara          ,,,Kota Medan                    ,,,
LLDIKTI Wilayah I,PTS,013084  ,Sekolah Tinggi Ilmu Hukum Labuhan Batu,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Singamangaraja No 126 A Aektapa,,Kab. Labuhan Batu             ,stihlabuhanbatu.ac.id,(0264)21901,stih.labuhanbatu@gmail.com
LLDIKTI Wilayah I,PTS,013082  ,STKIP Labuhan Batu,Sekolah Tinggi,Prop. Sumatera Utara          ,"Jalan Singamangaraja No 126 A Aek Tapa, Rantauprapat",,Kab. Labuhan Batu             ,http://stkip-labuhanbatu.ac.id,(0624) 21901,stkip1999@gmail.com
LLDIKTI Wilayah I,PTS,013073  ,Sekolah Tinggi Ilmu Ekonomi Labuhan Batu,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Sisingamangaraja No 126 A Aektapa,,Kab. Labuhan Batu             , http://stie-labuhanbatu.ac.id,(0624) 21901,labstie1998@gmail.com
LLDIKTI Wilayah I,PTS,013083  ,Sekolah Tinggi Ilmu Pertanian Labuhan Batu,Sekolah Tinggi,Prop. Sumatera Utara          ,"Jalan Singamangaraja No 126 A KM. 3,5 Aek Tapa, Rantauprapat - Labuhanbatu - Sum",,Kab. Labuhan Batu             ,stiper-labuhanbatu.ac.id,(0624) 21901,stiper.stiperlabuhanbatu@gmail.com
LLDIKTI Wilayah I,PTS,013119  ,Sekolah Tinggi Teknologi Sinar Husni,Sekolah Tinggi,Prop. Sumatera Utara          ,Jl Veteran Gang Utama Pasar V Kecamatan Helvetia,,Kab. Deli Serdang             ,,0618463690,
LLDIKTI Wilayah I,PTS,013192  ,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Maksum,Sekolah Tinggi,Prop. Sumatera Utara          ,,,Kab. Langkat                  ,,,
LLDIKTI Wilayah I,PTS,013173  ,Sekolah Tinggi Manajemen Informatika dan Komputer Royal,Sekolah Tinggi,Prop. Sumatera Utara          ,Kisaran Kelurahan Teladan Kecamatan Kota Kisaran Timur,,Kab. Asahan                   ,http://stmikroyal.ac.id/,0623 - 41079,stmik@royal.ac.id
LLDIKTI Wilayah I,PTS,013100  ,Sekolah Tinggi Kelautan Dan Perikanan Indonesia,Sekolah Tinggi,Prop. Sumatera Utara          ,Jalan Tirta Deli No 1 ,,Kab. Deli Serdang             ,,,
LLDIKTI Wilayah I,PTS,011042  ,Universitas Pelita Harapan Medan,Universitas,Prop. Sumatera Utara          ,"Lippo Plaza Medan Lt 5 - 7
Jl. Imam Bonjol No.6,
Medan 20112
",,Kota Medan, http://medan.uph.edu, 061 80511117, info.medan@uph.edu
LLDIKTI Wilayah I,PTS,011047  ,Universitas Nahdlatul Ulama Sumatera Utara,Universitas,Prop. Sumatera Utara          ,"1, Jl. Perjuangan No. 215 Desa Tanjung Selamat. 2, Jl.Brigjen A. Manaf Lubis/Gaf",Kec. Sunggal                  ,Kab. Deli Serdang             , www.unusu.ac.id, , unu.su@yahoo.com
LLDIKTI Wilayah I,PTS,011016  ,Universitas Asahan,Universitas,Prop. Sumatera Utara          ,Jalan Jenderal Ahmad Yani Asahan,Kec. Kisaran Timur            ,Kab. Asahan                   ,una.ac.id,--,admin@una.ac.id
LLDIKTI Wilayah I,PTS,011044  ,Universitas Efarina,Universitas,Prop. Sumatera Utara          ,Jl. Sutomo Griya Hapoltakan Pematang Raya - Simalungun Kav 1-10 ,Kec. Raya                     ,Kab. Simalungun               ,www.unefa.ac.id,"(0622) 29844, 331578",universitasefarina@gmail.com
LLDIKTI Wilayah I,PTS,011003  ,Universitas Muhammadiyah Sumatera Utara,Universitas,Prop. Sumatera Utara          ,Jl Kapt Mukhtar Basri Ba No 3 Glugur Darat II,Kec. Medan Timur              ,Kota Medan                    ,www.umsu.ac.id,"061-6622400, 6624567",rektor@umsu.ac.id
LLDIKTI Wilayah I,PTS,011012  ,Universitas Dharmawangsa,Universitas,Prop. Sumatera Utara          ,Jalan K L Yos Sudarso No 224 ,Kec. Medan Barat              ,Kota Medan                    ,www.dharmawangsa.ac.id,061-661-3783,univ@dharmawangsa.ac.id
LLDIKTI Wilayah I,PTS,011033  ,Universitas Prima Indonesia,Universitas,Prop. Sumatera Utara          ,Jalan Sekip Simpang Sikambing,Kec. Medan Petisah            ,Kota Medan                    ,unprimdn.ac.id,0614578870,contact@unprimdn.ac.id
LLDIKTI Wilayah I,PTS,011007  ,Universitas Darma Agung,Universitas,Prop. Sumatera Utara          ,Jalan Dr Td Pardede No 21 ,Kec. Medan Petisah            ,Kota Medan                    ,darmaagung.ac.id,"(061)4535432,4535432",birek@darmaagung.ac.id
LLDIKTI Wilayah I,PTS,011046  ,Universitas Potensi Utama,Universitas,Prop. Sumatera Utara          ,"Jl. K.L. Yos Sudarso Km 6,5 No. 3A Tanjung Mulia - Medan ",Kec. Medan Deli               ,Kota Medan                    ,www.potensi-utama.ac.id,061-6640525,info@potensi-utama.ac.id
LLDIKTI Wilayah I,PTS,011018  ,Universitas Sisingamangaraja XII Tapanuli Utara,Universitas,Prop. Sumatera Utara          ,Jl Sisingamangaraja XII No 9 Silangit,Kec. Siborong-Borong          ,Kab. Tapanuli Utara           ,,0633-41017,
LLDIKTI Wilayah I,PTS,011006  ,Universitas Methodist Indonesia,Universitas,Prop. Sumatera Utara          ,Jalan Hang Tuah No 8 ,Kec. Medan Polonia            ,Kota Medan                    ,www.methodist.ac.id,0614536465,info@methodist.ac.id
LLDIKTI Wilayah I,PTS,011025  ,Universitas Pembinaan Masyarakat Indonesia,Universitas,Prop. Sumatera Utara          ,Jalan Teladan No 15 ,Kec. Medan Denai              ,Kota Medan                    ,www.upmi.ac.id,061 7362927,upmi@upmi.ac.id
LLDIKTI Wilayah I,PTS,011027  ,Universitas Muslim Nusantara Al-Washliyah,Universitas,Prop. Sumatera Utara          ,Jalan Garu II No 2 Dan No 93 ,Kec. Medan Amplas             ,Kota Medan                    ,www.umnaw.ac.id,"061-7867044, 7868487",info@umnaw.ac.id
LLDIKTI Wilayah I,PTS,011001  ,Universitas Islam Sumatera Utara,Universitas,Prop. Sumatera Utara          ,"Jl. Karya Bakti No. 34 P. Masyhur Medan Johor  
Jl. SM. Raja Teladan Barat Medan",Kec. Medan Johor              ,Kota Medan                    ,uisu.ac.id,061-7866932,infokom@uisu.ac.id
LLDIKTI Wilayah I,PTS,011040  ,Universitas Quality,Universitas,Prop. Sumatera Utara          ,Jl. Ringroad - Ngumban Surbakti No.18 Medan,Kec. Medan Selayang           ,Kota Medan                    ,www.universitasquality.ac.id,06180047003,info@universitasquality.ac.id
LLDIKTI Wilayah I,PTS,011009  ,Universitas Katolik Santo Thomas,Universitas,Prop. Sumatera Utara          ,Jalan Setia Budi Nomor 479 F Tanjung Sari,Kec. Medan Selayang           ,Kota Medan                    ,www.ust.ac.id,061 8210161,info@ust.ac.id
LLDIKTI Wilayah I,PTS,011045  ,Universitas Sari Mutiara Indonesia Medan,Universitas,Prop. Sumatera Utara          ,Jalan Kapten Muslim No. 79 Medan,Kec. Medan Helvetia           ,Kota Medan                    ,www.sari-mutiara.ac.id,(061)-8476769,info@sari-mutiara.ac.id
LLDIKTI Wilayah I,PTS,011004  ,Universitas Pembangunan Panca Budi,Universitas,Prop. Sumatera Utara          ,"Jl. Jend. Gatot Subroto Km 4,5 Sie Sikambing Medan 20122",Kec. Medan Sunggal            ,Kota Medan                    ,www.pancabudi.ac.id,061 8455571,unpab@pancabudi.ac.id
LLDIKTI Wilayah I,PTS,011029  ,Universitas Tjut Nyak Dhien,Universitas,Prop. Sumatera Utara          ,Jalan Gatot Subroto / Jl. Rasmi No. 28  ,Kec. Medan Sunggal            ,Kota Medan                    ,www.utnd.ac.id,061-8451508,tjutnyakdhien@gmail.com
LLDIKTI Wilayah I,PTS,011014  ,Universitas Muhammadiyah Tapanuli Selatan,Universitas,Prop. Sumatera Utara          ,Jalan St Mohd Arief No 32 Padangsidimpuan,Kec. Padang Sidimpuan Utara   ,Kota Padang Sidempuan         ,um-tapsel.ac.id,(0634)21696,bau@um-tapsel.ac.id
LLDIKTI Wilayah I,PTS,011015  ,Universitas Graha Nusantara,Universitas,Prop. Sumatera Utara          ,"Jln. Sutan Soripada Mulia, No. 17",Kec. Padang Sidimpuan Utara   ,Kota Padang Sidempuan         , ugn.ac.id,0634-25292,ugn_psp@yahoo.com
LLDIKTI Wilayah I,PTS,011038  ,Universitas Al Washliyah,Universitas,Prop. Sumatera Utara          ,Jalan H Adam Malik Lingkar By Pass Rantauprapat,Kec. Rantau Utara             ,Kab. Labuhan Batu             ,univalabuhanbatu.ac.id.,0624-351765,univalab@yahoo.co.id
LLDIKTI Wilayah I,PTS,011036  ,Universitas Dian Nusantara,Universitas,Prop. Sumatera Utara          ,Jl. Jamin Ginting Kel. Laucih Kec. Medan Tuntungan,Kec. Medan Tuntungan          ,Kota Medan                    , , , 
LLDIKTI Wilayah I,PTS,011049  ,Universitas Harapan Medan,Universitas,Prop. Sumatera Utara          ,"Jln. H.M. Joni No. 70 C Medan
",Kec. Medan Kota               ,Kota Medan                    ,http://unhar.harapan.ac.id,061-4514560,universitas.harapan.medan@gmail.com
LLDIKTI Wilayah I,PTS,011005  ,Universitas Simalungun,Universitas,Prop. Sumatera Utara          ,Jalan Sisingamangaraja Barat ,Kec. Siantar Martoba          ,Kota Pematang Siantar         ,www.usi.ac.id,0622 24670,usi-ps@indo.net.id
LLDIKTI Wilayah I,PTS,011008  ,Universitas Medan Area,Universitas,Prop. Sumatera Utara          ,"1. Jalan Kolam No. 1 Medan Estate - Medan (Kampus Utama / I)
2. Jalan Setia Budi",Kec. Medan Tembung            ,Kota Medan                    ,www.uma.ac.id,061-7366878,univ_medanarea@uma.ac.id
LLDIKTI Wilayah I,PTS,011010  ,Universitas Amir Hamzah,Universitas,Prop. Sumatera Utara          ,Jalan Pancing Pasar V Barat Medan Estate,,Kab. Deli Serdang             ,www.unhamzah.ac.id,061 6614160,unham@unhamzah.ac.id
LLDIKTI Wilayah I,PTS,011048  ,Universitas Quality Berastagi,Universitas,Prop. Sumatera Utara          ,,,Kab. Karo                     ,www.uqb.ac.id,062892188,info@uqb.ac.id
LLDIKTI Wilayah I,PTS,011028  ,Universitas Islam Labuhan Batu,Universitas,Prop. Sumatera Utara          ,"Jl. H. M. Yunus No. 09 Kel. Padang Bulan, Rantauprapat",,Kab. Labuhan Batu             ,www.unisla.id,0624-24629,unisla.adm@gmail.com
LLDIKTI Wilayah I,PTS,011041  ,Universitas Sutomo,Universitas,Prop. Sumatera Utara          ,"Jl. Sutomo Ujung No. 28 D Medan - Indonesia
",,Kota Medan                    ,Universitassutomo.ac.id,061-6614108,Admin@universitassutomo.ac.id
LLDIKTI Wilayah I,PTS,011026  ,Universitas Al-azhar,Universitas,Prop. Sumatera Utara          ,Jalan Pintu Air IV ,,Kota Medan                    ,alazhar-university.ac.id,061-8366679,univ.alazharmedan@yahoo.co.id
LLDIKTI Wilayah I,PTS,011011  ,Universitas Sisingamangaraja XII,Universitas,Prop. Sumatera Utara          ,Jl Perintis Kemerdekaan No 9 ,,Kota Medan                    , univ.sisingamangaraja.ac.id,061-414-6659,  univ.sisingamangarajaxiimedan@gmail.com
LLDIKTI Wilayah I,PTS,011017  ,Universitas Alwashliyah,Universitas,Prop. Sumatera Utara          ,"Jalan Sisingamangaraja Km 5,5 ",,Kota Medan                    ,univamedan.ac.id,061-7868270,info@univamedan.ac.id
LLDIKTI Wilayah I,PTS,011002  ,Universitas HKBP Nommensen,Universitas,Prop. Sumatera Utara          ,Jalan Dr Sutomo No 4-A ,,Kota Medan                    ,www.uhn.ac.id,061-4522922,uhn@uhn.ac.id
LLDIKTI Wilayah I,PTS,011050  ,Universitas HKBP Nommensen Pematangsiantar,Universitas,Prop. Sumatera Utara          ,,,Kota Pematang Siantar         ,uhkbpnp.ac.id,0622-7251800,info@uhkbpnp.ac.id
LLDIKTI Wilayah II,PTS,024119  ,Akademi Kebidanan Sungailiat Bangka,Akademi,Prop. Bangka Belitung         ,Jln. Imam Bonjol No.01 Sungailiat Bangka ,,Kab. Bangka                   ,http,071792286,rahayuair@gmail.com
LLDIKTI Wilayah II,PTS,024122  ,Akademi Kebidanan Bunga Bangsaku Bangka,Akademi,Prop. Bangka Belitung         ,Jl Depati Hamzah RT/RW  01/06  Semabung Lama Kec.Bukit Intan Pangkalpinang Bangk,,Kota Pangkalpinang            ,akbid-bungabangsakubangka.ac.id,07174256437,akbidbbb@gmail.com
LLDIKTI Wilayah II,PTS,024109  ,Akademi Kebidanan Bangka Belitung,Akademi,Prop. Bangka Belitung         ,Jl Majapahit No 294 Kec Tamansari,,Kab. Bangka                   ,,0717 439090,
LLDIKTI Wilayah II,PTS,024132  ,Akademi Keperawatan Pangkalpinang,Akademi,Prop. Bangka Belitung         ," Jl Pulau Bangka
Kelurahan Air itam
Pangkalpinang",,Kota Pangkalpinang            ,akperpangkalpinang.ac.id,(0717) 431979,akper_pangkalpinang@yahoo.com
LLDIKTI Wilayah II,PTS,024042  ,Akademi Manajemen Belitung,Akademi,Prop. Bangka Belitung         ,Jalan Depati Gegedek No 17 ,,Kab. Belitung                 , amb.ac.id,071924790, info@amb.ac.id
LLDIKTI Wilayah II,PTS,024085  ,Akademi Analis Kesehatan Harapan Bangsa,Akademi,Prop. Bengkulu                ,Jl RAYA DEPATI PAYUNG NEGARA no. 16 A  PADANG KEMILING KOTA BENGKULU,,Kota Bengkulu                 ,aakh@gmail.com,0736-52606,aakharapanbangsa@gmail.com
LLDIKTI Wilayah II,PTS,024126  ,Akademi Kesehatan Yayasan Sapta Bakti Bengkulu,Akademi,Prop. Bengkulu                ,Bengkulu ,,Kota Bengkulu                 ,www.saptabakti.ac.id,(0736)346300,sapta_bakti@yahoo.co.id
LLDIKTI Wilayah II,PTS,024111  ,Akademi Kebidanan Manna,Akademi,Prop. Bengkulu                ,Jl Fatmawati Soekarno Manna ,,Kab. Bengkulu Selatan         , www.akbid_manna,0739-21218, akbid.bengkulu.selatan@gmail.com
LLDIKTI Wilayah II,PTS,024118  ,Akademi Farmasi Yayasan Al-Fatah,Akademi,Prop. Bengkulu                ,AKADEMI FARMASI AL-FATAH BENGKULU,,Kota Bengkulu                 ,www.akfar-alfatah.ac.id,0736-27508,info@akfar-alfatah.ac.id
LLDIKTI Wilayah II,PTS,024141  ,Akademi Akuntansi Al Fatah,Akademi,Prop. Bengkulu                ,"Jl. Indragiri, Padang Harapan, Gading Cemp.",Kec. Gading Cempaka           ,Kota Bengkulu                 ,,,
LLDIKTI Wilayah II,PTS,024093  ,Akademi Kebidanan Patriot Bangsa Husada,Akademi,Prop. Lampung                 ,Jl Raya Lintas Sumatera No 30 Seputih Jaya,Kec. Gunung Sugih             ,Kab. Lampung Tengah           , http://akbidpbh-lampung.ac.id,0725 7020651, 
LLDIKTI Wilayah II,PTS,024105  ,Akademi Kebidanan Wahana Husada Bandar Jaya,Akademi,Prop. Lampung                 ,Lampung ,Kec. Terbanggi Besar          ,Kab. Lampung Tengah           , ,0725 42307, akbidwahana_husada@yahoo.com
LLDIKTI Wilayah II,PTS,024123  ,Akademi Bahasa Asing Dian Cipta Cendikia Kotabumi,Akademi,Prop. Lampung                 ,Kotabumi ,Kec. Kotabumi Kota            ,Kab. Lampung Utara            , ,072423003,abadcclpg@yahoo.com
LLDIKTI Wilayah II,PTS,024101  ,Akademi Keperawatan Dharma Wacana,Akademi,Prop. Lampung                 ,Jalan Kenanga No 3 Kel Mulyojati 16-C,Kec. Metro Barat              ,Kota Metro                    , ,072546685, 
LLDIKTI Wilayah II,PTS,024100  ,Akademi Keperawatan Panca Bhakti,Akademi,Prop. Lampung                 ,Jalan ZA Pagar Alam No 14 Gedong Meneng,Kec. Rajabasa                 ,Kota Bandar Lampung           ,www.pancabhakti.ac.id,0721786864,info@pancabhakti.ac.id
LLDIKTI Wilayah II,PTS,024098  ,Akademi Keperawatan Malahayati Bandar Lampung,Akademi,Prop. Lampung                 ,"Jl Pramuka No 27, Kemiling ",Kec. Kemiling                 ,Kota Bandar Lampung           ,,0721-271117,akper_malahayati@yahoo.com
LLDIKTI Wilayah II,PTS,024089  ,Akademi Kebidanan Panca Bhakti,Akademi,Prop. Lampung                 ,Jalan ZA Pagar Alam No 14 Gedung Meneng,Kec. Kedaton                  ,Kota Bandar Lampung           ,wwwpancabhati.ac.id,0721786864,info@pancabhakti.ac.id
LLDIKTI Wilayah II,PTS,024083  ,Akademi Perpajakan Tridarma,Akademi,Prop. Lampung                 ,Jl ZA Pagar Alam No 9 Gedung Meneng,Kec. Kedaton                  ,Kota Bandar Lampung           ,,(0721) 701691,
LLDIKTI Wilayah II,PTS,024084  ,Akademi Kebidanan Wira Buana,Akademi,Prop. Lampung                 ,Jalan Budi Utomo No 3 ,Kec. Metro Pusat              ,Kota Metro                    , http://www.akbid-wirabuana.ac.id/,0725 49278,buanawira38@gmail.com
LLDIKTI Wilayah II,PTS,024104  ,Akademi Kebidanan Adila,Akademi,Prop. Lampung                 ,Jalan soekarno hatta by pass  ( depan polinela ) Rajabasa Kota Bandar Lampung,Kec. Rajabasa                 ,Kota Bandar Lampung           ,www.akbid.adila.ac.id,0813 6999 2407,akbid.adila@yahoo.com/adilaakbid@gmail.com
LLDIKTI Wilayah II,PTS,024015  ,Akademi Perikanan Bhima Sakti,Akademi,Prop. Lampung                 ,Jalan Pramuka Labuhan Ratu II Lampung Timur,Kec. Way Jepara               ,Kab. Lampung Timur            ,,08127252725,
LLDIKTI Wilayah II,PTS,024099  ,Akademi Keperawatan Baitul Hikmah,Akademi,Prop. Lampung                 ,Jalan Pancasila Sakti No 1 Langkapura,,Kota Bandar Lampung           ,,0721 272327,
